"Dataset","Age","lh_bankssts_thickness"
"ABIDE_I","22",2.25985014923268
"ABIDE_I","25",2.50919921396923
"ABIDE_I","27",2.13575015387992
"ABIDE_I","13.8",3.01167015635252
"ABIDE_I","13.8",2.73933961099509
"ABIDE_I","15.1",2.5241371763728
"ABIDE_I","14.2",2.56665291552143
"ABIDE_I","16.6",2.29776959225713
"ABIDE_I","13.9",2.89184086630689
"ABIDE_I","15.6",2.69994550312254
"ABIDE_I","12.3",2.91514793774483
"ABIDE_I","16.2",2.64823717172556
"ABIDE_I","12.4",2.79646772173024
"ABIDE_I","14.7",2.93205845739343
"ABIDE_I","16.6",2.79072235157502
"ABIDE_I","14.3",2.50952480478629
"ABIDE_I","13.6",2.71061276021899
"ABIDE_I","12.2",3.20438900275087
"ABIDE_I","12.8",2.47357791900687
"ABIDE_I","15.2",2.67466587443957
"ABIDE_I","12.4",2.86771031165497
"ABIDE_I","14.2",2.80795846204068
"ABIDE_I","16.9",2.86885938568601
"ABIDE_I","12.77",2.81449551337172
"ABIDE_I","10.84",2.64743945579981
"ABIDE_I","10.64",2.76071719346843
"ABIDE_I","11",2.54560391385528
"ABIDE_I","9.3",2.73897702159264
"ABIDE_I","8.39",3.17835733739822
"ABIDE_I","9.73",2.86966791293967
"ABIDE_I","9.41",2.20920335956663
"ABIDE_I","9.82",2.84907196063629
"ABIDE_I","9.3",2.84882210054403
"ABIDE_I","10.18",2.53873859642082
"ABIDE_I","10.4",2.88797542609824
"ABIDE_I","8.07",3.00697426162892
"ABIDE_I","10.37",2.85912007669573
"ABIDE_I","8.75",2.99642642538497
"ABIDE_I","10.82",2.57993050102759
"ABIDE_I","10.25",2.89598496310511
"ABIDE_I","9.31",2.71151575185479
"ABIDE_I","8.83",2.86966791293967
"ABIDE_I","11.09",2.61768974691714
"ABIDE_I","8.43",2.36710566055926
"ABIDE_I","11.85",2.63510290059555
"ABIDE_I","12.76",2.57993050102759
"ABIDE_I","9.97",2.67629480520232
"ABIDE_I","10.79",2.70121777570309
"ABIDE_I","8.46",2.64515101665499
"ABIDE_I","9.73",2.68977557997899
"ABIDE_I","9.97",2.57764206188277
"ABIDE_I","9.71",2.46093166549692
"ABIDE_I","8.87",2.81360115389156
"ABIDE_I","11.17",3.05134896486067
"ABIDE_I","12.43",2.7904669023511
"ABIDE_I","8.04",2.60489794936294
"ABIDE_I","8.26",2.76461923967806
"ABIDE_I","8.5",2.59800350517668
"ABIDE_I","8.52",2.85884331022367
"ABIDE_I","8.9",3.05993126565637
"ABIDE_I","10.86",2.92548960402422
"ABIDE_I","11.56",2.96800534317285
