"Dataset","lh_inferiortemporal_thickness"
"BGSP",2.794
"BGSP",2.692
"BGSP",2.702
"BGSP",2.507
"BGSP",2.636
"BGSP",2.707
"BGSP",2.736
"BGSP",2.679
"BGSP",2.927
"BGSP",2.735
"BGSP",2.718
"BGSP",2.668
"BGSP",2.714
"BGSP",2.731
"BGSP",2.756
"BGSP",2.7
"BGSP",2.551
"BGSP",2.562
"BGSP",2.658
"BGSP",2.687
"BGSP",2.674
"BGSP",2.533
"BGSP",2.606
"BGSP",2.747
"BGSP",2.636
"BGSP",2.7
"BGSP",2.67
"BGSP",2.523
"BGSP",2.654
"BGSP",2.66
"BGSP",2.792
"BGSP",2.876
"BGSP",2.807
"BGSP",2.7
"BGSP",2.753
"BGSP",2.807
"BGSP",2.791
"BGSP",2.58
"BGSP",2.986
"BGSP",2.775
"BGSP",2.759
"BGSP",2.774
"BGSP",2.7
"BGSP",2.638
"BGSP",2.696
"BGSP",2.851
"BGSP",2.708
"BGSP",2.661
"BGSP",2.69
"BGSP",2.746
"BGSP",2.535
"BGSP",2.713
"BGSP",2.744
"BGSP",2.849
"BGSP",2.858
"BGSP",2.693
"BGSP",2.56
"BGSP",2.826
"BGSP",2.854
"BGSP",2.814
"BGSP",2.653
"BGSP",2.821
"BGSP",2.777
"BGSP",2.732
"BGSP",2.882
"BGSP",2.677
"BGSP",2.785
"BGSP",2.621
"BGSP",2.613
"BGSP",2.826
"BGSP",2.559
"BGSP",2.612
"BGSP",2.727
"BGSP",2.599
"BGSP",2.668
"BGSP",2.822
"BGSP",2.709
"BGSP",2.587
"BGSP",2.828
"BGSP",2.659
"BGSP",2.676
"BGSP",2.608
"BGSP",2.61
"BGSP",2.721
"BGSP",2.503
"BGSP",2.721
"BGSP",2.576
"BGSP",2.532
"BGSP",2.712
"BGSP",2.728
"BGSP",2.927
"BGSP",2.673
"BGSP",2.594
"BGSP",2.647
"BGSP",2.764
"BGSP",2.784
"BGSP",2.625
"BGSP",2.778
"BGSP",2.885
"BGSP",2.827
"BGSP",2.6
"BGSP",2.696
"BGSP",2.723
"BGSP",2.705
"BGSP",2.55
"BGSP",2.626
"BGSP",2.715
"BGSP",2.589
"BGSP",2.74
"BGSP",2.594
"BGSP",2.783
"BGSP",2.747
"BGSP",2.555
"BGSP",2.624
"BGSP",2.633
"BGSP",2.584
"BGSP",2.754
"BGSP",2.9
"BGSP",2.643
"BGSP",2.543
"BGSP",2.622
"BGSP",2.554
"BGSP",2.605
"BGSP",2.853
"BGSP",2.816
"BGSP",2.5
"BGSP",2.679
"BGSP",2.593
"BGSP",2.845
"BGSP",2.925
"BGSP",2.723
"BGSP",2.546
"BGSP",2.472
"BGSP",2.68
"BGSP",2.586
"BGSP",2.628
"BGSP",2.784
"BGSP",2.566
"BGSP",2.764
"BGSP",2.736
"BGSP",2.517
"BGSP",2.737
"BGSP",2.664
"BGSP",2.688
"BGSP",2.752
"BGSP",2.455
"BGSP",2.851
"BGSP",2.732
"BGSP",2.469
"BGSP",2.643
"BGSP",2.815
"BGSP",2.902
"BGSP",2.628
"BGSP",2.583
"BGSP",2.755
"BGSP",2.618
"BGSP",2.863
"BGSP",3.158
"BGSP",2.857
"BGSP",2.489
"BGSP",2.752
"BGSP",2.511
"BGSP",2.816
"BGSP",2.759
"BGSP",2.716
"BGSP",2.518
"BGSP",2.67
